state	power	likelihood
760	0.410146	-14243.2
770	0.410146	-14283.6
780	0.410146	-14261.7
790	0.410146	-14251.8
800	0.410146	-14238.3
810	0.410146	-14259.8
820	0.410146	-14260.4
830	0.410146	-14292.6
840	0.410146	-14314
850	0.410146	-14299.2
860	0.410146	-14296.7
870	0.410146	-14265.3
880	0.410146	-14268.8
890	0.410146	-14274.8
900	0.410146	-14277.3
910	0.410146	-14266.8
920	0.410146	-14235
930	0.410146	-14237
940	0.410146	-14267
950	0.410146	-14245.5
960	0.410146	-14261.7
970	0.410146	-14256.4
980	0.410146	-14240.8
990	0.410146	-14266.1
1000	0.410146	-14254.3
260	0.36251	-14255.2
270	0.36251	-14281.2
280	0.36251	-14269.4
290	0.36251	-14281.2
300	0.36251	-14282.7
310	0.36251	-14259.4
320	0.36251	-14266.5
330	0.36251	-14257.5
340	0.36251	-14265.7
350	0.36251	-14254.8
360	0.36251	-14249.7
370	0.36251	-14252.1
380	0.36251	-14255.1
390	0.36251	-14287.8
400	0.36251	-14280.4
410	0.36251	-14280.2
420	0.36251	-14263.5
430	0.36251	-14278.6
440	0.36251	-14249.1
450	0.36251	-14285.6
460	0.36251	-14286.2
470	0.36251	-14291.3
480	0.36251	-14291.6
490	0.36251	-14267.3
500	0.36251	-14272.4
510	0.36251	-14274.4
520	0.36251	-14263.8
530	0.36251	-14284.2
540	0.36251	-14270
550	0.36251	-14249.7
560	0.36251	-14270.5
570	0.36251	-14267.4
580	0.36251	-14276.8
590	0.36251	-14271.2
600	0.36251	-14272.4
610	0.36251	-14267.5
620	0.36251	-14275.4
630	0.36251	-14265.4
640	0.36251	-14267.9
650	0.36251	-14273.6
660	0.36251	-14278
670	0.36251	-14269.3
680	0.36251	-14247.5
690	0.36251	-14253.6
700	0.36251	-14253.5
710	0.36251	-14258.1
720	0.36251	-14248.2
730	0.36251	-14258
740	0.36251	-14252.7
750	0.36251	-14275.6
760	0.36251	-14250.1
770	0.36251	-14255.7
780	0.36251	-14241
790	0.36251	-14262.9
800	0.36251	-14254.7
810	0.36251	-14235.3
820	0.36251	-14244.2
830	0.36251	-14242.8
840	0.36251	-14270
850	0.36251	-14263.6
860	0.36251	-14257.3
870	0.36251	-14253.9
880	0.36251	-14280.1
890	0.36251	-14254.9
900	0.36251	-14233.1
910	0.36251	-14247.4
920	0.36251	-14237.5
930	0.36251	-14269.3
940	0.36251	-14271.3
950	0.36251	-14283.5
960	0.36251	-14288.7
970	0.36251	-14283.7
980	0.36251	-14264.2
990	0.36251	-14264.1
1000	0.36251	-14294.2
260	0.319406	-14269.9
270	0.319406	-14261.8
280	0.319406	-14257.4
290	0.319406	-14272.1
300	0.319406	-14259.7
310	0.319406	-14262.8
320	0.319406	-14243.9
330	0.319406	-14260.1
340	0.319406	-14243.3
350	0.319406	-14263.1
360	0.319406	-14293.8
370	0.319406	-14287.6
380	0.319406	-14265.2
390	0.319406	-14249.7
400	0.319406	-14248.3
410	0.319406	-14283.3
420	0.319406	-14264.8
430	0.319406	-14260.2
440	0.319406	-14258.6
450	0.319406	-14274.5
460	0.319406	-14261.5
470	0.319406	-14275.2
480	0.319406	-14306.4
490	0.319406	-14271.7
500	0.319406	-14292.5
510	0.319406	-14278.2
520	0.319406	-14272.6
530	0.319406	-14274.9
540	0.319406	-14261
550	0.319406	-14254.8
560	0.319406	-14266.3
570	0.319406	-14259.3
580	0.319406	-14277.3
590	0.319406	-14263
600	0.319406	-14256.9
610	0.319406	-14265.7
620	0.319406	-14261.4
630	0.319406	-14267.3
640	0.319406	-14262
650	0.319406	-14284.5
660	0.319406	-14268.2
670	0.319406	-14258.4
680	0.319406	-14283.1
690	0.319406	-14283.8
700	0.319406	-14278.7
710	0.319406	-14283.5
720	0.319406	-14276.8
730	0.319406	-14275.6
740	0.319406	-14258.3
750	0.319406	-14245.7
760	0.319406	-14260.3
770	0.319406	-14302.4
780	0.319406	-14255.4
790	0.319406	-14275.7
800	0.319406	-14262.9
810	0.319406	-14249.4
820	0.319406	-14238.4
830	0.319406	-14282.4
840	0.319406	-14231.1
850	0.319406	-14232.4
860	0.319406	-14247.7
870	0.319406	-14274.8
880	0.319406	-14262.7
890	0.319406	-14261.8
900	0.319406	-14250.1
910	0.319406	-14256.9
920	0.319406	-14277.2
930	0.319406	-14267.5
940	0.319406	-14278.4
950	0.319406	-14252.7
960	0.319406	-14242.8
970	0.319406	-14272.2
980	0.319406	-14276.4
990	0.319406	-14285.4
1000	0.319406	-14271.9
260	0.280503	-14312.6
270	0.280503	-14285.8
280	0.280503	-14292.1
290	0.280503	-14281.5
300	0.280503	-14265.8
310	0.280503	-14254.7
320	0.280503	-14252.9
330	0.280503	-14260.7
340	0.280503	-14287.7
350	0.280503	-14259.7
360	0.280503	-14273.7
370	0.280503	-14266.2
380	0.280503	-14300
390	0.280503	-14265.7
400	0.280503	-14278.6
410	0.280503	-14306.1
420	0.280503	-14290.9
430	0.280503	-14299.3
440	0.280503	-14286.7
450	0.280503	-14276.3
